,Molregno IDs having no smiles
1830,232567
1831,68728
1832,117879
1833,1305734
1834,1289353
1835,1322124
1836,314512
1837,404631
1838,641
1839,117922
1840,1289391
1841,819642
1842,781491
1843,257219
1844,904391
1845,1322184
1846,937163
1847,1297613
1848,1305822
1849,1289439
1850,740574
1851,1297634
1852,1289443
1853,1305826
1854,1314022
1855,257254
1856,1314024
1857,257255
1858,1305835
1859,322799
1860,945392
1861,1305842
1862,322806
1863,322807
1864,1297656
1865,1314040
1866,322808
1867,2255134
1868,1322244
1869,1305864
1870,1314057
1871,2182417
1872,871699
1873,1305878
1874,1322263
1875,778958
1876,797985
1877,953634
1878,257319
1879,1314088
1880,1289518
1881,740660
1882,322871
1883,2108729
1884,1297723
1885,52546
1886,191814
1887,1289543
1888,2255137
1889,1289547
1890,1314130
1891,1289561
1892,679
1893,2116954
1894,740701
1895,1305953
1896,1305954
1897,191844
1898,1322341
1899,298344
1900,1289578
1901,1314158
1902,142703
1903,684
1904,1305972
1905,1297792
1906,191873
1907,1322377
1908,961931
1909,1306001
1910,2255140
1911,322974
1912,1322399
1913,200099
1914,445859
1915,2223526
1916,52650
1917,2255141
1918,1306035
1919,1101237
1920,191928
1921,880057
1922,2255142
1923,1322436
1924,1322439
1925,1314252
1926,1306062
1927,675281
1928,1314262
1929,871896
1930,1248728
1931,2255143
1932,1306083
1933,323044
1934,1289701
1935,1314278
1936,952615
1937,896499
1938,1925270
1939,2255144
1940,1289719
1941,1925271
1942,1314301
1943,1925272
1944,1314305
1945,1289733
1946,1289738
1947,796916
1948,1925276
1949,11796
1950,831004
1951,11805
1952,718
1953,798244
1954,757287
1955,2255146
1956,1314345
1957,2141737
1958,1322540
1959,773678
1960,1289781
1961,1314359
1962,1322552
1963,1924956
1964,1297982
1965,1306179
1966,314948
1967,314949
1968,1322573
1969,1322574
1970,1322576
1971,2248272
1972,1289811
1973,1322583
1974,2146729
1975,1298012
1976,896606
1977,1298021
1978,1289833
1979,1106297
1980,740976
1981,262879
1982,2255149
1983,781941
1984,1298038
1985,1322615
1986,978556
1987,1543805
1988,781948
1989,1969791
1990,1543809
1991,1298052
1992,2068107
1993,2068108
1994,2068109
1995,2068111
1996,274064
1997,2068112
1998,1322643
1999,1314454
2000,2158231
2001,11929
2002,1322655
2003,2255151
2004,1322667
2005,847531
2006,675500
2007,167598
2008,323246
2009,167607
2010,675516
2011,2255152
2012,1298111
2013,937671
2014,323276
2015,675534
2016,1289935
2017,167632
2018,167633
2019,1319615
2020,1306323
2021,1248980
2022,1248978
2023,1248979
2024,167639
2025,1248986
2026,1248987
2027,1248988
2028,1248991
2029,1248992
2030,1248993
2031,1248995
2032,2051813
2033,1248998
2034,1248999
2035,2051814
2036,2051815
2037,1249004
2038,1298158
2039,1249008
2040,1289973
2041,880377
2042,1298170
2043,1289982
2044,1314561
2045,896779
2046,39843
2047,860468
2048,1322778
2049,1306397
2050,1380126
2051,1306399
2052,773920
2053,2255156
2054,1306403
2055,39848
2056,1298215
2057,1298218
2058,192300
2059,1314608
2060,1314611
2061,118581
2062,118582
2063,1290051
2064,2125638
2065,192327
2066,954185
2067,1306443
2068,1290066
2069,1322837
2070,1306454
2071,295489
2072,765786
2073,1290077
2074,1027936
2075,937825
2076,1306466
2077,1298280
2078,1298281
2079,307050
2080,1298285
2081,323438
2082,323437
2083,1322872
2084,987007
2085,1322880
2086,1322883
2087,2255160
2088,315270
2089,1319651
2090,2133896
2091,757642
2092,192398
2093,1822607
2094,1822608
2095,1298323
2096,33357
2097,1327795
2098,782233
2099,1314714
2100,167835
2101,167836
2102,167837
2103,2255161
2104,167846
2105,1290157
2106,118703
2107,192431
2108,307121
2109,1249199
2110,987059
2111,290741
2112,290742
2113,1085366
2114,1290168
2115,1290177
2116,1314756
