Rank by Abolute Average Weight, Descriptor Name, Correlation to Regioselectivity, Absolute Average Weight, Variation in Absolute Weight
392,bond_degree_MS_min,+,0.00347119,0.00227737
393,bond_degree_MS_max,+,0.00347119,0.00227737
394,bond_degree_MS_sum,+,0.00347119,0.00227737
395,bond_degree_MS_mean,+,0.00347119,0.00227737
396,NA_2_S,-,0.0034544,0.00242035
397,pi_pi_mulliken_BS_min,+,0.00345356,0.00117554
398,pi_pi_mulliken_BS_max,+,0.00345356,0.00117554
399,pi_pi_mulliken_BS_sum,+,0.00345356,0.00117554
400,pi_pi_mulliken_BS_mean,+,0.00345356,0.00117554
401,NA_2_P,+,0.0034052,0.00170361
402,sig_sig_mulliken_BS_min,-,0.00338191,0.000959886
403,sig_sig_mulliken_BS_max,-,0.00338191,0.000959886
404,sig_sig_mulliken_BS_sum,-,0.00338191,0.000959886
405,sig_sig_mulliken_BS_mean,-,0.00338191,0.000959886
406,sig_sig_mulliken_BS_norm,+,0.00338039,0.000960728
407,NA_2_N,+,0.00325362,0.00525133
408,exchange_energy_D1_MS_sum,-,0.00324303,0.000899176
409,PA_1_Hp,+,0.0030675,0.00241897
410,resonance_energy_BS_norm,+,0.002989,0.00104769
411,resonance_energy_BS_min,-,0.002989,0.00104769
412,resonance_energy_BS_max,-,0.002989,0.00104769
413,resonance_energy_BS_sum,-,0.002989,0.00104769
414,resonance_energy_BS_mean,-,0.002989,0.00104769
415,sig_sig_mulliken_D1_BS_mean,+,0.00298817,0.0025838
416,electronic_energy_D2_min,+,0.00297526,0.00107287
417,pi_pi_mulliken_BS_norm,+,0.002974,0.00202509
418,total_ene_MS_norm,+,0.00271607,0.00115028
419,electrophilicity_D2_sum,-,0.00270807,0.00401149
420,bond_degree_D1_BS_norm,+,0.00269835,0.000534024
421,fukui_D2_mean,+,0.00268173,0.00190292
422,BASE_GROUP_In_InRing8,-,0.00262773,0.000265966
423,coulomb_energy_D1_BS_max,-,0.00260973,0.00204865
424,pi_pi_bo_D1_BS_norm,+,0.00258088,0.0013872
425,ne_energy_MS_norm,+,0.00252008,0.000784209
426,ne_energy_MS_min,-,0.00252008,0.000784209
427,ne_energy_MS_max,-,0.00252008,0.000784209
428,ne_energy_MS_sum,-,0.00252008,0.000784209
429,ne_energy_MS_mean,-,0.00252008,0.000784209
