Rank by Abolute Average Weight, Descriptor Name, Correlation to Regioselectivity, Absolute Average Weight, Variation in Absolute Weight
251,en_attraction_D2_max,+,0.00928041,0.00232572
252,sig_sig_bo_D1_MS_min,+,0.00925344,0.00180265
253,pi_pi_mulliken_D1_MS_norm,-,0.00922779,0.00167052
254,bond_degree_D1_BS_sum,+,0.00909411,0.000959489
255,ne_energy_D1_MS_sum,+,0.00895554,0.0010884
256,PA_3_H,+,0.00891979,0.00196053
257,PA_1_S,+,0.00886167,0.00216553
258,repulsion_energy_BS_norm,+,0.0086209,0.000919513
259,repulsion_energy_BS_min,+,0.0086209,0.000919513
260,repulsion_energy_BS_max,+,0.0086209,0.000919513
261,repulsion_energy_BS_sum,+,0.0086209,0.000919513
262,repulsion_energy_BS_mean,+,0.0086209,0.000919513
263,PA_1_X,+,0.00861932,0.0033684
264,exchange_energy_BS_norm,-,0.00860814,0.00164868
265,exchange_energy_BS_min,+,0.00860814,0.00164868
266,exchange_energy_BS_max,+,0.00860814,0.00164868
267,exchange_energy_BS_sum,+,0.00860814,0.00164868
268,exchange_energy_BS_mean,+,0.00860814,0.00164868
269,total_ene_D1_MS_mean,-,0.0085975,0.00151077
270,nn_energy_D1_MS_sum,-,0.00851377,0.00122711
271,electrophilicity_D2_mean,+,0.00845698,0.00413139
272,pi_pi_mulliken_D1_MS_min,-,0.00839661,0.00307573
273,sig_sig_bo_D1_MS_sum,-,0.00838713,0.00141289
274,nucleophilicity_D1_sum,-,0.00834658,0.00327386
275,pi_pi_bo_D1_BS_mean,+,0.00829788,0.00160775
276,electronic_energy_D2_max,+,0.00815296,0.00241306
277,resonance_energy_D1_MS_min,+,0.00804331,0.0019306
278,sig_pi_mulliken_D1_MS_min,-,0.00800505,0.00285224
279,resonance_energy_D1_BS_min,+,0.00797397,0.00152092
280,resonance_energy_D1_MS_norm,-,0.00792104,0.0010275
281,coulomb_energy_D1_BS_mean,+,0.00781866,0.00137985
282,PA_4_O,-,0.0077912,0.00372287
283,bond_degree_D1_BS_min,-,0.00775806,0.00151518
284,atom_area_D2_sum,+,0.00771886,0.00281174
285,NA_1_N,-,0.00768536,0.00464967
286,active_charge_D2_min,-,0.00738881,0.00176747
287,sig_pi_mulliken_D1_BS_min,+,0.00738481,0.00408526
288,sig_sig_bo_D1_BS_mean,-,0.00738169,0.00170969
289,sig_pi_bo_D1_MS_min,-,0.0073322,0.00212405
290,sig_sig_bo_D1_BS_sum,+,0.00723461,0.00078753
291,coulomb_energy_D1_BS_norm,+,0.00719071,0.00146016
292,sig_pi_mulliken_D1_MS_sum,-,0.00714489,0.00210818
293,PA_1_O,-,0.00711264,0.00256404
294,exchange_energy_D1_BS_max,+,0.00704666,0.00137618
295,active_charge_D1_norm,-,0.00698584,0.0022865
296,fukui_D2_sum,-,0.00696558,0.00287003
297,sig_sig_mulliken_D1_MS_min,+,0.00681656,0.00165465
298,electrophilicity_D1_sum,+,0.00675696,0.00276896
299,ee_repulsion_D2_norm,+,0.00667216,0.00140004
300,sig_sig_mulliken_D1_BS_norm,+,0.00666289,0.00126573
301,sig_pi_mulliken_MS_norm,-,0.00665644,0.00208606
302,electron_density_D2_min,-,0.00662269,0.00203082
303,ee_repulsion_D1_norm,-,0.00659422,0.00225047
