ID,SMILES,LOAEL [mg/kg_bw/day]
609,c1c(Cl)cc(Cl)cc1N2C(=O)C(C)(C=C)OC2(=O),72.9
613,O=C(OC(CCCC(O)CCCCCc1cc(O)cc2O)C)c12,0.2
615,COC(=O)C1(C2=CC=CC=C2C3=C1C=C(C=C3)Cl)O,150
616,CC(C(=O)O)OC1=CC(=CC=C1)Cl,100
619,P12P3P1P23,1472
623,C(CO)O,400
624,CCCCOCC(C)OCC(C)O,128
628,C(CO)O,2000
629,C(CO)O,920
636,[O-][As](=O)([O-])[O-],6.25
640,[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,2.3
642,N(C(=S)SSC(N(C)C)=S)(C)C,11.5
645,COP(=O)(N)SC,0.9
646,N(C(=S)SSC(N(C)C)=S)(C)C,5.47
650,COP(=O)(NC(=O)(C))SC,35
651,C1=CC=C(C=C1)NC(=O)NC2=CN=NS2,30
653,CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,0.5
654,CC(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)SC,10
658,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,1.5
659,NC(CCCC1)C1,58.5
661,CN1C=C(c2ccccc2)C(=O)C(c3cc(C(F)(F)F)ccc3)=C1,32.5
663,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,0.5
664,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,200
666,OC(=O)CNCP(O)(O)=O,1000
667,C1CNC(=S)N1,0.23
669,O=C(N(OC)C)Nc(ccc(c1Cl)Cl)c1,6.25
670,C1=CC=C2C(=C1)NC(=S)S2,750
672,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,10
673,c(c(c(c(c1Cl)Cl)Cl)Cl)(c1Cl)Cl,0.29
674,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,125
676,C1=CC(=CC=C1Cl)Cl,300
677,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,500
678,COP(=O)(OC)OC=C(Cl)Cl,2.15
679,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,0.42
680,CNC(=O)N(C)c1nnc(s1)C(C)(C)C,40
681,CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2,250
682,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,9
683,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,12.5
684,C(#N)c(c(c(c(c1C(#N))Cl)Cl)Cl)c1Cl,4
685,O=C(OCC)C(O)(c(ccc(c1)Cl)c1)c(ccc(c2)Cl)c2,18.4
688,O=C(N(C)C)Nc(ccc(c1)Cl)c1,125
690,O=C(N(SC(Cl)(Cl)Cl)C(=O)C1CC=CC2)C12,100
691,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,150
693,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,5
694,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,1.25
