"","StaticF","SemiF","ECFP6","DFS8","ECFP6+ToxF"
"CHEMBL1794303",0.632273975899223,0.782039901263063,0.72496297950353,0.774130912145658,0.672930235329084
"CHEMBL3215210",0.847910644539544,0.93746781343946,0.904003973037587,0.915294708400357,0.919891099004911
"CHEMBL1737912",0.524409193314478,0.609288679536944,0.562827600186779,0.660885987596079,0.54693127141703
"CHEMBL1737967",0.684266098192488,0.716763609105898,0.657846471117726,0.689672715130941,0.685819173751452
"CHEMBL3214902",0.837952268277806,0.885426798437248,0.822838697703036,0.848679745145772,0.859497476558605
"CHEMBL1614469",0.654683386159505,0.787674429184385,0.767198083309484,0.722409347387386,0.753229802580727
"CHEMBL1909087",0.907728005807771,0.938270261699907,0.92197810500492,0.927612866376492,0.932362362497289
"CHEMBL1909088",0.907250179765393,0.917685507153053,0.899249305086019,0.898393890123099,0.906359965442116
"CHEMBL1909140",0.925634158782988,0.936069559837873,0.926562413869382,0.931199157960076,0.938540697899713
"CHEMBL1963761",0.669779909273456,0.629385322394898,0.656682700960641,0.614418652032949,0.654004390401226
"CHEMBL1909093",0.827133150912708,0.847125260817099,0.870727139910969,0.809624705887101,0.802208016014271
"CHEMBL1963735",0.777441714107906,0.842138142282602,0.81373949084486,0.797925234140328,0.830905474016227
"CHEMBL1909104",0.905753962298515,0.923229112884413,0.889417172687992,0.907529338744921,0.901491429974448
"CHEMBL1909114",0.955284672341914,0.933009701930178,0.950432508634583,0.885857437432543,0.949062086019443
"CHEMBL1963759",0.785077580880021,0.817578319494281,0.778645522008597,0.780497634715684,0.789863211461387
"CHEMBL1963694",0.763298409171409,0.704400285310619,0.763271309142214,0.621414222238679,0.766879737079592
"CHEMBL1963756",0.712725061195322,0.745339626062775,0.719902532054864,0.695374440453602,0.721444790015607
"CHEMBL1909215",0.918997959760827,0.945274960945917,0.92705971010199,0.89700551695037,0.932544452075702
"CHEMBL1909213",0.743222807991121,0.779231152628766,0.746939100587824,0.738659334278785,0.80383807086776
"CHEMBL1963783",0.713300751106297,0.770626905551842,0.740734513010827,0.74382183075717,0.757095612355637
"CHEMBL1963827",0.752909636980801,0.77958975035963,0.769128693834817,0.722793081795569,0.789277669991341
"CHEMBL1909170",0.9412896118373,0.935700113668564,0.943880356068978,0.931725813905487,0.950476031691357
"CHEMBL1963707",0.72219077880364,0.758326134976073,0.744180696284628,0.726426903512318,0.760417937853938
"CHEMBL1909192",0.468204112431617,0.459831478337421,0.266243266469639,0.400036680710139,0.25999496950261
"CHEMBL1909206",0.965578304117044,0.935870872514791,0.907327550900413,0.910272536687631,0.817504146239594
"CHEMBL1909095",0.952035634842494,0.944828913815827,0.93434644602289,0.910223137772777,0.876125847177291
"CHEMBL1909097",0.837348957194529,0.767404237553491,0.636974797545121,0.833381186939581,0.654446744380288
"CHEMBL1963706",0.744196754843779,0.762533897187942,0.745045191587872,0.755452595256231,0.770437362266007
"CHEMBL1614522",0.613316221722364,0.599916207161788,0.642431646478312,0.664203693408698,0.657140009983852
"CHEMBL1909115",0.971035645761828,0.973048992279017,0.931977675016792,0.949963257652513,0.935247717005112
"CHEMBL1738502",0.693047220618328,0.714905192057792,0.654676826613586,0.708678459472848,0.655150153379247
"CHEMBL1909139",0.899714807419768,0.939881022600957,0.917929178535193,0.918551338236256,0.913083488788525
"CHEMBL1909204",0.900894699598917,0.907022297388557,0.847997419093424,0.776809353021432,0.865387000595719
"CHEMBL1963810",0.70768538613574,0.711393434216363,0.690148333452648,0.674525690782503,0.729000703770621
"CHEMBL1963767",0.732251562210005,0.757777077660217,0.74501864102676,0.708645198659763,0.770562420759369
"CHEMBL1963966",0.738032077432527,0.871205271387054,0.824134556465334,0.827630608712047,0.856587393598234
"CHEMBL1963816",0.780603100945142,0.723761805746838,0.773558375111455,0.647305286527702,0.77639966361777
"CHEMBL1909103",0.918401484965811,0.928071679098847,0.939934027517394,0.900321282453405,0.938072610612569
"CHEMBL1738552",0.784923120153947,0.814243355203891,0.750979416820817,0.780355173800818,0.77991706636904
"CHEMBL1963714",0.747994792536122,0.73030731013854,0.713238474061742,0.698646534978222,0.748894420747879
"CHEMBL1909102",0.955956037716189,0.978292543027955,0.963116440582453,0.955040625240766,0.970297727233387
"CHEMBL1963704",0.743155665159567,0.779701107390107,0.735926996060572,0.718497544327336,0.749017576210596
"CHEMBL1963785",0.757196682043817,0.777333611766499,0.737492762097701,0.752014426741926,0.743522430601779
"CHEMBL1963739",0.774026422637534,0.77643229309896,0.763794166571944,0.731516834294612,0.774545867601423
"CHEMBL2114896",0.625724812835341,0.656015130336465,0.651370168178207,0.584634322273073,0.663400007082018
"CHEMBL1909143",0.887523940903227,0.908459158368616,0.921757280306261,0.863719217221174,0.923378796175104
"CHEMBL1963817",0.736513796090949,0.764581762440135,0.710975395017386,0.75561466225356,0.723675016810363
"CHEMBL1963788",0.750883346296481,0.762352530262281,0.742464994570744,0.723275501261709,0.762513344473149
"CHEMBL1909124",0.755354993983153,0.925301646002535,0.955441663292915,0.902451339165847,0.94457815215938
"CHEMBL1964119",0.750404684698165,0.760637204578264,0.722325511424134,0.726271570253081,0.740049975037486
"CHEMBL1963779",0.76478571264453,0.786484448095043,0.734291791127853,0.760264548794865,0.758838064664289
"CHEMBL1963768",0.780092820822284,0.813070151562902,0.804076784909048,0.802561203164923,0.788604225698306
"CHEMBL1909084",0.631122673019877,0.71842228252676,0.64188599257235,0.688441276332804,0.658831334152965
"CHEMBL1909209",0.875563662956546,0.919053325779282,0.875432696450243,0.913251738344557,0.890026866907293
"CHEMBL1963749",0.69651746198489,0.701610346672366,0.668921218878301,0.635468138686462,0.70371899292664
"CHEMBL1963792",0.741661455857819,0.734658322498975,0.726834554917573,0.753929374450579,0.756401039931363
"CHEMBL1963826",0.796678623209966,0.799084194896275,0.771833824350454,0.790710037350806,0.798880498338034
