"","StaticF: fold0","StaticF: fold1","StaticF: fold2","SemiF: fold0","SemiF: fold1","SemiF: fold2","ECFP6: fold0","ECFP6: fold1","ECFP6: fold2","DFS8: fold0","DFS8: fold1","DFS8: fold2","ECFP6+ToxF: fold0","ECFP6+ToxF: fold1","ECFP6+ToxF: fold2"
"CHEMBL2354292",0.294463497489802,0.296769505701152,0.368185829144617,0.360854518015816,0.265216204173462,0.587048138901121,0.309723584505735,0.287120831674181,0.485598491119183,0.459641491138947,0.299145116366873,0.505873053096479,0.373933303349882,0.245947613130132,0.462758472207165
"CHEMBL1794567",0.880207057471493,0.951224031992612,0.885287125389106,0.879097765556554,0.976840749849792,0.8796079229084,0.921556417602162,0.940862181719227,0.868214321450201,0.898133207712569,0.97840918656839,0.847825425846061,0.934940742525967,0.944421435763936,0.891302777514686
"CHEMBL2114874",0.739056975294996,0.751461984218105,0.756588490411829,0.678620525495894,0.828498849919266,0.831480674390266,0.683855736893134,0.743020417877073,0.848736728078563,0.731806500843688,0.742288111397846,0.852839866029518,0.716287765389386,0.79118416969984,0.875010691789924
"CHEMBL2114829",0.805989895800724,0.811190606498934,0.832938742384831,0.862144631430728,0.845447413227397,0.904802249534433,0.899922618606729,0.870851922325966,0.847039026100796,0.830812536725121,0.880950121257029,0.879692147572687,0.852422466503059,0.877145966159914,0.852978023657772
"CHEMBL1964115",0.866884894196742,0.792674437918157,0.75062885618972,0.896293483430479,0.786858602119123,0.765585366676778,0.77242271691437,0.737326491337631,0.751017882551359,0.831893751611216,0.752835207917734,0.710581840211078,0.777181312919054,0.785510489254627,0.745362075676447
"CHEMBL1614403",0.523849788734657,0.526296684681778,0.516772670611825,0.572639386112683,0.566656861656862,0.746610761270754,0.492310487434358,0.715850024185028,0.552685779870434,0.45736935403276,0.219387834387834,0.760667717128414,0.509049149274911,0.764124546582665,0.605215325211845
"CHEMBL1963777",0.70249469009451,0.767332165899245,0.69595919131701,0.805975417747504,0.755654780401145,0.651958371867581,0.631987159192182,0.730435277309691,0.665551888864509,0.705162514296869,0.73268101373412,0.615910015466317,0.702965347084735,0.784349665479899,0.68560393208399
"CHEMBL1614310",0.582850032552213,0.637712262012938,0.675006798756799,0.524476336388269,0.71989340370323,0.904880952380952,0.631175127936132,0.635552269408382,0.795223803973804,0.54896448765871,0.60049269252657,0.736285658785659,0.659808314217976,0.635644067752603,0.900766178266178
"CHEMBL1033994",0.741115047819542,0.844598913944252,0.921746878023891,0.665125886459044,0.879470650137207,0.901827048941461,0.632147442766954,0.796793052159565,0.871998338972204,0.68007517035301,0.82504036667709,0.954025682905868,0.64542152880091,0.7975354833953,0.910776855651681
"CHEMBL3215187",0.966249875069176,0.894354538737379,0.906591815744041,0.98801597876752,0.941282426292344,0.95624080418402,0.993048109288902,0.926016475835599,0.939936280423694,0.987355214679686,0.928291899237983,0.931428064373341,0.994763977788954,0.923027915076352,0.94456571648361
"CHEMBL1738482",0.991142595924324,0.950190625977326,0.953450213591075,0.992574151774426,0.924798285479098,0.952060305515585,0.928288444894097,0.90481258837764,0.985767712544958,0.976833458730317,0.902616993186132,0.931254327533112,0.974560551940278,0.885800514469376,0.987947833438675
"CHEMBL1738512",0.974961538111039,0.944311255363976,0.999827994028133,0.986104828432677,0.975620903014284,1,0.990143734609643,0.978994188791433,1,0.968147289154829,0.958332375658977,0.999827994028133,0.992181755527681,0.966160422260538,1
"CHEMBL1738253",0.931739539421748,0.960950455221309,0.920727338624299,0.887440889515676,0.943748595991711,0.930220648454212,0.917422080846752,0.946192900844194,0.929855097424258,0.914722630173568,0.968444325814817,0.95487837618376,0.937871994571032,0.957712235861997,0.928474662905091
"CHEMBL1963806",0.925485051308031,0.891313987425252,0.814814229232162,0.916223623607163,0.876937850011309,0.792724368217575,0.850553087061055,0.840063115894038,0.805812446358335,0.871016464718095,0.82531690806176,0.765733429632285,0.867719114650997,0.880212069378518,0.785536242863878
"CHEMBL1613787",0.44299268844566,0.541318095645733,0.403743429347496,0.482362047356535,0.522284312944348,0.421887054592621,0.35806579162773,0.555666880511099,0.338788179839465,0.427655207899874,0.455428281566141,0.331877882294162,0.405310083571896,0.551087049479446,0.395345260469537
"CHEMBL1794320",0.1,0.385887445887446,1,1,0.464894480519481,0.427777777777778,0.1,0.364285714285714,1,0.1,0.110901775293223,0.693906810035842,1,0.489596861471861,1
"CHEMBL1964023",0.343982492128995,0.255504945291964,0.259026825331419,0.34828785510482,0.327492747182555,0.256253552180468,0.312353262239376,0.242099874985203,0.305753711070101,0.386680264800587,0.337756798141919,0.272655026821945,0.348104300736418,0.250697908948624,0.328158999743369
"CHEMBL1794571",0.585455347868755,0.596506830941005,0.712876892895891,0.560867895680852,0.541272722128515,0.626884335089421,0.550335166486171,0.627991911380454,0.660487753893693,0.555435603908539,0.592061188046412,0.620871912160165,0.527177623823584,0.628547874115839,0.669639140766803
"CHEMBL1738670",0.928520547746208,0.939556665778579,0.932061856077157,0.926746103334934,0.920123881797186,0.955335634099958,0.948175478536096,0.907950619892589,0.958500529129962,0.915793478184753,0.910125071424331,0.95112858953884,0.936092686264154,0.922840254277876,0.945033055109193
"CHEMBL1963838",0.270396411310756,0.175100702933579,0.314345903370145,0.248438601842227,0.19543409329534,0.302668410876391,0.257732505857246,0.172923734080579,0.327056412748094,0.255597082659036,0.267717922541014,0.28992267603295,0.254835348839294,0.165880152023558,0.30394288667425
"CHEMBL1614034",0.948986086336732,0.96573322323024,0.926782195420109,1,0.973934155920226,0.913681003495057,0.995140675580766,0.991002772568168,0.946113329122378,0.991889704241101,0.969568529963691,0.923055641434576,0.99611657569691,0.983124185707287,0.968397180732742
"CHEMBL1794365",0.981343453274135,0.943272320556703,0.929002548961897,0.989095176181502,0.951186094114342,0.940398612287283,0.971254533205169,0.921932011732375,0.934772668537539,0.988474005771528,0.921374461735164,0.952103097574575,0.982239510208682,0.951452227230672,0.909892428420057
"CHEMBL1614001",0.0151515151515152,0.0438023061588035,0.0161290322580645,0.0128205128205128,0.0473843635301969,0.00666666666666667,0.0263157894736842,0.028304317060035,0.00819672131147541,0.0166666666666667,0.0357102243631569,0.00454545454545455,0.0277777777777778,0.0246589689688001,0.00568181818181818
"CHEMBL1738579",0.852989190277038,0.87263291964377,0.778875983013702,0.803938600116556,0.868790794298996,0.725320866457452,0.805075400964367,0.818204930922059,0.800739375233218,0.744967770986285,0.769098229593341,0.741298727567875,0.849471505175854,0.875125901130323,0.748604277431744
"CHEMBL1738407",0.574669176959862,0.401908476695275,0.405213680851805,0.674673016019549,0.545393489332123,0.396607184607186,0.584072149439551,0.423995248254293,0.321321852611246,0.645160227092509,0.431396361922939,0.361010247004137,0.660013560619377,0.471368830452528,0.315761729441622
"CHEMBL2354256",0.946357644546502,0.940833800279728,0.941926515014418,0.947122846493801,0.958734470364387,0.923552354601177,0.942988837277021,0.944460425852441,0.942951517192861,0.929846141231746,0.937839718270716,0.931019730004156,0.94746946042027,0.960168813495326,0.938452861706351
"CHEMBL1613941",0.682455161548739,0.701352256367588,0.857144862868626,0.687343041412527,0.696781924284458,0.841251804958658,0.811074130925168,0.743372442366087,0.669690340466935,0.616733024335986,0.767180288688443,0.856555453780951,0.815098574560432,0.760489386223919,0.738248787819182
"CHEMBL2354274",0.991955443673378,0.976286966730024,0.993805693401085,0.991897702748863,0.972622980001816,0.976738647443005,0.989186529043751,0.990741450411416,0.982240840343197,0.989983152069972,0.985732953742482,0.965832384163781,0.98701246849644,0.964228062084728,0.983670295042655
"CHEMBL1963776",0.150048067074915,0.440955721569595,0.342688834560998,0.143352954092118,0.451063256892267,0.407775816061962,0.287055089474444,0.489828574133731,0.193477764095208,0.120358483065042,0.296000805733152,0.310987602018993,0.321105814764494,0.428324970397922,0.264654545940812
"CHEMBL1963778",0.717939072009151,0.591893963849626,0.684931387052305,0.815546145516607,0.762043950304779,0.68333179298344,0.808092704535835,0.634710289764072,0.740338661767602,0.864404604824797,0.6569365679541,0.659093374440607,0.815880822048462,0.644321732499496,0.684313656187536
"CHEMBL1738642",0.74700970520777,0.674221896106427,0.651071600097504,0.712959576559188,0.706367449275599,0.692344759087266,0.811883218736936,0.754121076600851,0.765948439438028,0.765249380134189,0.795663356486258,0.74720060361174,0.820003044120558,0.778537485450418,0.797661848286941
"CHEMBL1614434",0.293427783200324,0.354066337070456,0.296227234507551,0.449153628733567,0.356790725423686,0.494243254414854,0.38673360159892,0.461136606036396,0.341333554969427,0.426041616139503,0.2513176151864,0.413067374592867,0.447478359812387,0.328707588786393,0.374023944836146
"CHEMBL1613762",0.996601159174059,0.989233508325684,0.984491972697548,0.993605794980158,0.982480350151232,0.991180141089884,0.978117538224176,0.992265590403462,0.993235280052157,0.981650284082097,0.986707494440049,0.982412469626047,0.980437660169557,0.991187785869747,0.992191363943687
"CHEMBL2114761",0.284704157734956,0.372326171270655,0.291468775689956,0.279847844356365,0.373491514148112,0.320089901916889,0.377374031801051,0.447782252739553,0.245472244030478,0.306807777149773,0.414369817283462,0.295959000401139,0.384593088627268,0.37524069538026,0.242667696939205
"CHEMBL1613991",0.925796434303474,0.972804784425542,0.955007225231946,0.943394890560246,0.946809327301244,0.963713276697106,0.905758419830088,0.966951800907651,0.937162668859991,0.925703279063964,0.94419737459522,0.944297363278154,0.912687375014176,0.965078479931322,0.941281085865457
"CHEMBL1614328",0.854381508791509,0.710905520019387,0.734014045348896,0.87147419883363,0.800242675942605,0.736692769681295,0.912603545546193,0.814307070161861,0.78467753073869,0.856531563096542,0.87071311166867,0.725281133604383,0.903534081576633,0.861754505897819,0.741879293537897
"CHEMBL1964117",0.490432069416181,0.645541773668501,0.65754189020056,0.673831348977942,0.698755587688115,0.642380342986942,0.620332466084921,0.55107097401404,0.402029365402459,0.642671038611376,0.583499560124842,0.552587697572644,0.577521077717372,0.503552562294648,0.427785160296986
"CHEMBL1614104",0.949524860938349,0.948786957083922,0.913846293453437,0.972639192017302,0.97999108759304,0.875221157862712,0.961700959994938,0.935062501478854,0.899584715481163,0.983495198348479,0.98310844657148,0.912307551316541,0.948453956586009,0.943134716326677,0.865717283885054
"CHEMBL1964103",0.750054561057501,0.764646997956342,0.638431997605792,0.812540296748916,0.718423371599403,0.549833587958536,0.735081736244003,0.753384928982505,0.523252175999312,0.799091232818907,0.729211099555332,0.45415381071035,0.732431448582062,0.734305773026798,0.516223233055905
"CHEMBL2114791",0.974265843426533,0.987686953297863,0.997265520515091,0.976657012991136,0.983129117881755,0.998066138479888,0.960927505126356,0.976668193295715,0.990080828973235,0.978265557539274,0.982176349879673,0.988059500484513,0.942228990314751,0.987608087661355,0.965837076924919
