,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
78,CHEMBL370317,CHEMBL828349,323722,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,21546,76,PROTEIN,SINGLE PROTEIN,9,C(=C(c1ccccc1)c2ccccc2)c3cccnc3
79,CHEMBL383145,CHEMBL828349,324108,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,21546,76,PROTEIN,SINGLE PROTEIN,9,C(=C1c2ccccc2c3ccccc13)c4ccncc4
80,CHEMBL381194,CHEMBL828349,323898,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,21546,76,PROTEIN,SINGLE PROTEIN,9,C(=C(c1ccccc1)c2ccccc2)c3ccncc3
81,CHEMBL195688,CHEMBL828349,323927,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,21546,76,PROTEIN,SINGLE PROTEIN,9,CC1C\C(=C/c2cccnc2)\c3ccccc13
82,CHEMBL193555,CHEMBL828349,324213,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,21546,76,PROTEIN,SINGLE PROTEIN,9,C1C(c2ccccc2)c3ccccc3/C/1=C/c4cccnc4
83,CHEMBL373074,CHEMBL828350,324212,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,21546,76,PROTEIN,SINGLE PROTEIN,9,CC1C\C(=C\c2cccnc2)\c3ccccc13
84,CHEMBL365735,CHEMBL881287,326950,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,5826.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,c1ccc2cc(ccc2c1)c3cccnc3
85,CHEMBL362968,CHEMBL881287,326843,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,1577.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,COc1ccc2cc(ccc2c1)c3cccnc3
86,CHEMBL195571,CHEMBL881287,326872,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,2671.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,Oc1ccc2cc(ccc2c1)c3cccnc3
87,CHEMBL193534,CHEMBL881287,326887,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,2939.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,Brc1ccc2cc(ccc2c1)c3cccnc3
88,CHEMBL193343,CHEMBL881287,326897,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,5419.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,CCOc1ccc2cc(ccc2c1)c3cccnc3
89,CHEMBL196796,CHEMBL881287,326864,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,691.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,N#Cc1ccc2cc(ccc2c1)c3cccnc3
90,CHEMBL197576,CHEMBL881287,326954,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,2517.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,COc1ccc2cc(ccc2c1Cl)c3cccnc3
91,CHEMBL196328,CHEMBL881287,326865,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,4481.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,COc1ccc2cc(ccc2c1Br)c3cccnc3
92,CHEMBL381014,CHEMBL881287,327071,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,4898.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,COc1ccc2c(Cl)c(ccc2c1Cl)c3cccnc3
93,CHEMBL371430,CHEMBL881287,327026,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,2724.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,COc1ccc2ccc(c(Cl)c2c1)c3cccnc3
94,CHEMBL438802,CHEMBL881287,326977,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,10505.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,COC(=O)c1ccc2cc(ccc2c1)c3cccnc3
95,CHEMBL194277,CHEMBL881287,326982,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,7553.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,c1ccc2c(c1)cc(c3cccnc3)c4ccccc24
96,CHEMBL195996,CHEMBL881287,327159,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,1317.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,c1ccc2cc(ccc2c1)n3ccnc3
97,CHEMBL194472,CHEMBL881287,327199,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,81.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,COc1cc2ccccc2cc1n3ccnc3
