training set:,,,,,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,logBB_svm,logBB_ann,HDon_N,XlogP,TPSA,RDF_PiChg_13,RDF_PiChg_33,RDF_PiChg_46,RDF_PiChg_58,RDF_TotChg_110,RDF_TotChg_121,RDF_SigEN_25,RDF_PiEN_37,RDF_PiEN_56,RDF_PiEN_93,RDF_Polariz_38
150,0.36,0.2855,0.2885,0.0779,0,1.31968,9.23,0,0,0,0,0,0,422.409,0,0,0,26.1221
151,0.22,0.3582,0.3609,0.234,0,1.74757,9.23,0,0,0,0,0,0,496.836,0,0,0,71.9062
152,0.64,0.3823,0.4032,0.351,0,2.542,25.36,-0.003533,1.21E-05,-0.000218,-8.43E-05,0,0,1303.3,61.8403,44.1239,0,701.059
153,0.399,-0.0342,-0.0082,-0.00525,0,1.12086,26.3,-0.01488,0,0,0,0,0,388.558,0,0,0,43.1985
155,-0.623,-0.3066,-0.3214,-0.331,0,4.66453,63.95,-0.028865,7.78E-05,-0.001257,-0.003481,-0.018463,0.0139924,2244.55,342.756,61.4717,35.448,1321.88
157,0.1,0.5432,0.5125,0.48,0,5.08177,42.35,-0.003346,-1.96E-08,3.85E-05,-4.57E-05,-7.56E-07,0,2145.14,272.289,85.0396,31.6265,623.387
158,-0.46,0.1797,0.1464,0.0692,0,2.58439,45.59,-0.003331,-1.95E-08,-8.20E-06,-1.83E-06,0,0,2099.82,285.196,74.2232,0,860.649
160,-2,-1.8631,-1.7998,-1.78,2,1.79666,88.5,-0.027024,-0.02223,-0.047635,-0.010233,-0.007744,-0.000236,1588.79,148.617,147.161,294.828,759.836
162,0.12,0.072,0.095,0.0636,0,1.24594,9.23,0.0002608,-5.67E-07,0.0019976,0,0,0,94.5633,21.535,0,0,0.801586
163,-0.4,-0.319,-0.2897,-0.242,2,1.12319,70.59,-0.014313,-9.92E-05,0.0038731,-0.000451,0.0509673,-0.001501,1775.66,168.236,0.841139,0,682.561
165,0.64,0.1028,0.075,0.111,1,3.04047,41.49,-5.25E-05,0,2.24E-06,0,0.0027744,0.0020239,1470.83,222.452,0,0,659.325
167,-0.9963,-1.1192,-0.9481,-0.969,3,0.46002,84.58,-0.018605,-0.000892,-0.002955,-0.008124,-3.02E-05,0.0608907,1218.21,82.6306,0.795465,7.95295,487.592
168,-0.0033,0.0769,0.0932,0.0479,0,0.865642,9.23,0,0,0,0,0,0,172.036,0,0,0,47.8154
169,-0.046,-0.0782,-0.0966,-0.14,2,1.24135,52.32,-0.017874,-5.63E-07,5.51E-05,0,0,0,926.009,127.054,0,0,260.264
170,-0.46,0.2014,0.1794,0.221,1,2.34048,41.57,-0.018621,0,4.67E-07,2.95E-07,0.0068794,0.0002301,1357.9,74.2871,4.11703,0,654.881
172,0.69,0.5842,0.5276,0.52,1,3.80426,37.39,-0.007309,4.79E-07,3.62E-07,2.29E-07,0.014501,-0.014607,1524.9,104.673,4.11703,0.0092002,720.548
173,-0.02,0.0379,0.06,0.0226,0,2.14663,32.7,-0.000206,0,0,0,0.014955,0.0002763,1163.21,74.2886,4.11714,0,551.271
174,0.924,1.1163,1.0759,1.13,0,7.07551,12.47,-0.000225,-5.10E-06,3.63E-05,-6.53E-05,0.0034136,0.0010556,2253.87,226.538,190.428,36.0114,1586.38
175,0.61,-0.0284,-0.0478,-0.146,1,1.80434,47.56,-0.018082,0,-2.53E-07,8.62E-05,2.86E-06,0,1367.8,202.444,13.4253,0,499.764
177,-1.3,-1.5796,-1.4988,-1.39,1,-0.749239,88.74,-0.010575,-0.000292,-0.083604,0,0,0,1119.01,139.934,0.467865,27.2797,245.753
178,-0.886,-0.9109,-0.6863,-1.16,1,-0.88379,121.12,-0.54914,-0.002304,-0.09671,-0.360711,0,0,1259.11,27.7584,3.83276,0.561329,381.297
179,-0.72,-0.5131,-0.536,-0.711,3,-1.13329,127.17,-0.708465,-0.002304,0.0328197,-0.042598,0,0,1301,20.7347,34.3688,57.0305,384.036
182,-0.3227,-0.2824,-0.3153,-0.43,0,0.775373,52.93,0.0002022,0.0001062,-4.11E-05,-4.91E-05,0,0,2079.22,202.011,26.1029,0,1271.09
184,-0.15,-0.7119,-0.6785,-0.723,0,2.7031,66.76,-0.009943,0.0005095,-0.000475,-0.002676,0,0.0022963,1702.31,406.688,74.8815,34.4106,819.405
185,0.01,-0.1763,-0.1514,-0.0426,0,-0.182397,12.53,0,0,0,0,0,0,0,0,0,0,0
186,-2,-1.9879,-2.078,-1.62,0,1.10203,160.83,-0.014555,0.00256,-0.000116,0.001133,-0.010208,0.0294827,3926.19,392.174,210.887,99.7592,2291.4
189,-0.921,-0.8845,-0.8331,-0.825,0,0.819802,85.3,-0.023061,-6.41E-06,0.000282,-0.001603,0,0,1752.09,379.687,116.792,0,754.801
190,-0.1567,-0.1584,-0.1303,-0.0611,0,0.200354,17.07,-0.005431,0,0,0,0,0,77.7557,0,0,0,0
