training set:,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,HDon_N,XlogP,TPSA,Dipole,NAtoms,2DACorr_SigChg_9,2DACorr_PiChg_4,2DACorr_PiChg_5,2DACorr_TotChg_1,2DACorr_TotChg_11,2DACorr_PiEN_8,2DACorr_PiEN_10
177,-1.3,-0.8015,1,-0.749239,88.74,9.43805,29,-0.170615,0.0283097,0.008382,1.22598,0,63.0353,40.6068
178,-0.886,-0.9361,1,-0.88379,121.12,4.49185,32,-0.016773,-0.102843,-0.06568,3.72954,0.345447,520.288,220.726
179,-0.72,-0.3659,3,-1.13329,127.17,3.04116,34,-0.041801,-0.102843,0.118283,2.56585,0.551924,409.53,155.874
182,-0.3227,-0.2833,0,0.775373,52.93,3.68192,40,0.0033009,-0.000826,-0.000559,0.543084,0,10.8684,0
184,-0.15,-0.5263,0,2.7031,66.76,3.60597,29,0.0060977,-0.037683,0.0003786,0.704391,-0.086453,418.505,173.114
185,0.01,-0.0961,0,-0.182397,12.53,2.2414,7,0,0,0,0.100268,0,0,0
186,-2,-1.8512,0,1.10203,160.83,10.9174,74,0.449408,-0.003578,-0.010036,1.98155,0.559489,1352.75,599.161
189,-0.921,-1.0851,0,0.819802,85.3,7.16661,28,0.0962942,-0.102954,-0.013254,1.25941,0,223.55,0
190,-0.1567,-0.1133,0,0.200354,17.07,2.80464,10,0,0,0,0.169457,0,0,0
191,-0.11,-0.0612,0,0.456639,17.07,2.77098,13,0,0,0,0.171097,0,0,0
193,0.578,0.1089,0,3.93944,23.55,4.76783,53,0.035795,-0.012111,0.0107927,0.463512,0.0383036,47.6477,298.745
194,-0.34,0.1642,2,2.11896,46.33,4.13246,33,0,-0.022234,0.0133034,0.582915,0,89.6867,0
196,0.3,0.1671,1,6.36037,41.99,3.24577,53,0.0997551,-0.001997,-0.018037,0.559879,0.0663341,960.758,657.845
197,0.34,0.1893,1,2.11024,32.34,4.6811,39,0.0189117,-0.01051,0.0063285,0.451362,0,9.24411,0
198,0.4,0.2222,0,2.97003,37.3,4.01405,51,0.0134109,0.0006406,-0.00032,0.362514,0.134586,81.7148,55.5171
199,-0.3083,-0.8568,0,-2.04855,65.34,3.73526,21,0,-0.149483,0.0620762,1.43422,0,0,0
201,-0.06,-0.0032,1,1.81325,66.48,0.620164,37,-0.013258,-0.106036,0.080373,1.16522,0,76.8901,0
203,0.06,-0.2807,1,-0.571627,67.23,4.68662,21,0,-0.06957,0.196512,1.14219,0,0,0
204,-0.348,-0.221,0,0.357388,33.2,5.45288,25,0,0.003511,-0.003075,0.507396,0,46.496,0
205,0.48,-0.0455,0,2.21096,69.64,2.41939,59,0.0886316,-0.054059,0.0343331,1.16574,0.41363,35.6357,86.8137
206,-0.52,0.1556,0,3.67956,40.62,1.30974,43,0.0426091,-0.216482,0.0620426,0.799082,0.0120201,317.393,28.1543
208,0,-0.2296,0,1.6256,26.79,8.93941,34,-6.29E-05,-0.140621,0.0355756,0.734879,0,18.8463,0
211,-0.222,-0.3731,2,-0.128594,75.27,0.72631,22,0,-0.106877,0.0808953,1.12287,0,0,0
212,-0.137,-0.2961,2,0.42437,75.27,0.715005,25,0,-0.106808,0.080855,1.12659,0,0,0
213,0.04,-0.1009,2,2.05625,75.27,0.723489,34,0.0302612,-0.1068,0.0808506,1.1342,0,0,0
216,0.086,-0.0618,2,2.08326,75.27,0.724431,34,-0.005738,-0.106801,0.0808508,1.13457,0,0,0
221,-0.06,0.1604,2,2.25238,58.2,2.95448,31,0.0035612,-0.073249,0.0642904,0.893485,0,201.688,0
223,0.0667,0.3844,1,2.23705,32.34,2.51959,43,0.0020933,0.0004855,-0.000758,0.450665,0.0584262,13.0984,0
224,0,-0.0012,1,2.46838,58.12,1.34997,34,0,-0.023102,-0.006608,0.764038,0,92.6745,0
225,-0.658,-0.6999,0,2.17257,70.5,6.56546,29,0.0135928,-0.143431,0.0379864,1.06478,0,89.0755,0
226,-0.28,-0.5711,1,2.64942,86.34,1.36203,44,0.0548406,0.022273,0.0021457,1.3533,-0.007716,686.55,550.411
227,0.03,-0.1449,0,-0.370884,51.21,2.2884,3,0,0,0,3.03158,0,0,0
228,0.02,-0.2052,0,-0.513384,20.23,1.4264,6,0,0,0,0.151811,0,0,0
230,-0.5317,0.0303,0,2.66606,37.3,2.03027,26,0,0,0,0.434491,0,0,0
232,-1.03,-1.2536,5,3.76247,166.75,4.00065,99,-0.010979,0.0298662,-0.054643,1.9056,0.504016,973.713,1322.15
