,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
39,180370,CHEMBL3184679,CHEMBL3991682,1673970,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
40,180371,CHEMBL1231124,CHEMBL3991682,693474,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
41,180372,CHEMBL1879463,CHEMBL3991682,1220034,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
42,180373,CHEMBL1976040,CHEMBL3991682,1297331,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
43,180374,CHEMBL3301622,CHEMBL3991682,1763584,Homo sapiens,Homo sapiens,D,=,202.0,nM,Kd apparent,Uncertain,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
44,180375,CHEMBL1946170,CHEMBL3991682,1277553,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
45,180376,CHEMBL3545076,CHEMBL3991682,1926925,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
46,180377,CHEMBL1094408,CHEMBL3991682,625907,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
47,180378,CHEMBL494089,CHEMBL3991682,469313,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
48,180379,CHEMBL1229517,CHEMBL3991682,691867,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
49,180380,CHEMBL2110732,CHEMBL3991682,1383172,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
50,180381,CHEMBL270995,CHEMBL3991682,441029,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
51,180382,CHEMBL3991929,CHEMBL3991682,2199354,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
52,180383,CHEMBL3544983,CHEMBL3991682,1926832,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
53,180384,CHEMBL3545083,CHEMBL3991682,1926932,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
54,180385,CHEMBL3545307,CHEMBL3991682,1927156,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
55,180386,CHEMBL3301607,CHEMBL3991682,1763569,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
56,180387,CHEMBL2323775,CHEMBL3991682,1517937,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
57,180388,CHEMBL411907,CHEMBL3991682,441100,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
58,180389,CHEMBL223360,CHEMBL3991682,371147,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
59,180390,CHEMBL2103882,CHEMBL3991682,1376152,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
60,180391,CHEMBL2028663,CHEMBL3991682,1340894,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
61,180392,CHEMBL3188267,CHEMBL3991682,1677558,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
62,180393,CHEMBL1088751,CHEMBL3991682,619399,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
63,180394,CHEMBL3545154,CHEMBL3991682,1927003,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
64,180395,CHEMBL3408248,CHEMBL3991682,1835004,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
65,180396,CHEMBL1289494,CHEMBL3991682,715901,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
66,180397,CHEMBL2107832,CHEMBL3991682,1380102,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
67,180398,CHEMBL3991927,CHEMBL3991682,2199352,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
68,180399,CHEMBL206834,CHEMBL3991682,341327,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
69,180400,CHEMBL2364611,CHEMBL3991682,1540483,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
70,180401,CHEMBL1952329,CHEMBL3991682,1281325,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
71,180402,CHEMBL1173655,CHEMBL3991682,650126,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
72,180403,CHEMBL3334567,CHEMBL3991682,1790692,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
73,180404,CHEMBL2087361,CHEMBL3991682,1365023,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
74,180405,CHEMBL2001019,CHEMBL3991682,1322310,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
75,180406,CHEMBL3545360,CHEMBL3991682,1927209,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
76,180407,CHEMBL1236682,CHEMBL3991682,699032,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
77,180408,CHEMBL482767,CHEMBL3991682,520055,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
78,180409,CHEMBL535,CHEMBL3991682,13048,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
79,180410,CHEMBL2140408,CHEMBL3991682,1412359,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
80,180411,CHEMBL536151,CHEMBL3991682,540975,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
81,180412,CHEMBL38380,CHEMBL3991682,50822,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
82,180413,CHEMBL496102,CHEMBL3991682,486594,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
83,180414,CHEMBL1078178,CHEMBL3991682,617563,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
84,180415,CHEMBL2103842,CHEMBL3991682,1376112,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
85,180416,CHEMBL2103830,CHEMBL3991682,1376100,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
86,180417,CHEMBL3699142,CHEMBL3991682,2032433,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
87,180418,CHEMBL1614713,CHEMBL3991682,1037724,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
88,180419,CHEMBL3348923,CHEMBL3991682,1797534,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
89,180420,CHEMBL405130,CHEMBL3991682,431685,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
90,180421,CHEMBL253969,CHEMBL3991682,424611,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
91,180422,CHEMBL554,CHEMBL3991682,14805,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
92,180423,CHEMBL477772,CHEMBL3991682,489525,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
93,180424,CHEMBL3039517,CHEMBL3991682,1592335,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
94,180425,CHEMBL575448,CHEMBL3991682,570962,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
95,180426,CHEMBL2103840,CHEMBL3991682,1376110,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
96,180427,CHEMBL2403108,CHEMBL3991682,1570706,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
97,180428,CHEMBL574737,CHEMBL3991682,568337,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
98,180429,CHEMBL3545215,CHEMBL3991682,1927064,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
99,180430,CHEMBL3039525,CHEMBL3991682,1592343,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
